product_id,title,detected_keywords,suggested_category,confidence
hhc-3754985,Set of 3 Wooden Photo Tile Wall Art Frames (8×11 Inches) – Premium MDF Spiritual Wall Décor with Easy Stick Back,,Home & Kitchen > Other,0.58
hhc-3754860,Set of 6 Wall Art Wooden Phototile Frames for Wall Decor,,Home & Kitchen > Home Decor,0.58
hhc-3754853,Mini Quick Push Electronic Fidget Toy – 2-in-1 Handheld Memory Game & Keychain Charm for Kids and Adults,,Home & Kitchen > Other,0.58
hhc-3754766,Strawberry Straw Water Bottle (Cute/Kawaii Design),,Home & Kitchen > Kitchen & Dining,0.58
hhc-3754762,Portable Mesh Nebulizer – Quiet & Rechargeable for Kids and Adults,,Beauty & Personal Care > Other,0.55
hhc-3754735,"Set of 3 Islamic Motivational Wall Art Frames – 8x11"" MDF Phototiles with Adhesive Backing",,Home & Kitchen > Other,0.58
hhc-3754699,"Set of 3 Nature-Inspired Wall Art Frames – 8x11"" MDF with Sticky Backing",,Home & Kitchen > Other,0.58
hhc-3754698,"Set of 3 Islamic Wall Art Frames – Arabic Calligraphy, 8x11"" MDF with Sticky Backing",,Home & Kitchen > Other,0.58
hhc-3754688,"Set of 6 Motivational Wall Art Frames – 8x11"" MDF with Sticky Backing",,Home & Kitchen > Other,0.58
hhc-3754680,"Set of 3 Motivational Wall Art – MDF Wooden Phototile Frames (8x11"") with Adhesive Back",,Home & Kitchen > Other,0.58
hhc-3754548,Set of 6 Motivational Wall Art Wooden Phototile Frames for Wall Decor,,Home & Kitchen > Home Decor,0.58
hhc-3754547,Set of 3 Wall Art Wooden Phototile Frames for Wall Decor,,Home & Kitchen > Home Decor,0.58
hhc-3754476,Sleeping Gel Eye Mask Premium Quality Smooth Texture Comfortable Fit Relaxing Design (Random Color),,Home & Kitchen > Other,0.58
hhc-3754385,"14 Pcs Compressed Travel Disposable Face Towel – Portable Coin Tissue Towels for Travel, Gym, Hotel & Outdoor Use",,Home & Kitchen > Fitness & Gym,0.58
hhc-3754357,Metal Hand Press Button Plier With 50 Tich Buttons with lock | Tich and Snap Button Press Tool DIY,,Home & Kitchen > Other,0.55
hhc-3754189,Deluxe Thermal Knit Knee and Leg Warmers (1 Pair) | Essential Winter Protection & Joint Comfort for Women | Knee Warmer For Women | Knee Warmer For Winters,,Beauty & Personal Care > Other,0.58
hhc-3754094,Mesh Window Screen Repair Tape – 2 Meter Durable Self-Adhesive Patch for Quick Screen Fixes,,Home & Kitchen > Other,0.58
hhc-3754093,120pcs Disposable Paper Flower Soap Tube – Portable Handwash Sheets for Kids & Adults | Travel-Friendly Pocket Soap Flakes,,Beauty & Personal Care > Other,0.55
hhc-3753992,Meal-It 3-Compartment Lunch Box (1000 ml Large) – Leak-Resistant Meal Prep Container for Neatly Separated Food Items,,Home & Kitchen > Kitchen & Dining,0.58
hhc-3753962,Easter Baskets – Portable Round Non-Woven Buckets for Kids & Adults | Small Woven Party & Birthday Decoration Supplies,,Home & Kitchen > Home Decor,0.58
hhc-3753761,"Infuser Glass Tea Jug with Stainless Steel Filter – Premium Hot & Cold Brewer for Tea, Detox Water & Herbal Drinks",,Home & Kitchen > Kitchen & Dining,0.58
hhc-3753760,1 Pcs Simple Triangle-shaped Iron Mosquito Coil Holder Creative Hanging Or Standing Incense Burner,,Home & Kitchen > Other,0.58
hhc-3753696,"Umrah Saving Box - Box For Umrah Saving |  Umrah Saving Box Wooden Money Box for Umrah - 210,000",,Home & Kitchen > Other,0.58
hhc-3752633,Kids Portable Study Table – Multifunctional Plastic Desk with Side Storage (Random Color),,Home & Kitchen > Other,0.58
hhc-3752489,"Rat Repellent Spray – Protects Car Wires & Engine, Home & Office Use, Long-Lasting (50ml)",,Home & Kitchen > Other,0.58
hhc-3752461,Pearl Latkan Hanging Lace Border for Dupatta & Dress Decoration – 1 Gaz (Approx. 1 Yard),,Beauty & Personal Care > Home Decor,0.58
hhc-3752457,Labubu Doll – 7 Inch Plush Toy for Boys & Girls | Cute Collectible Gift (Random Color),,Home & Kitchen > Kitchen & Dining,0.58
hhc-3752355,"Pack of 10 Anti-Collision Door Stickers – Silicone Wall Protectors, Perforation-Free, Non-Marking, Mute Buffer Strips for Home & Furniture Safety",,Home & Kitchen > Home Decor,0.58
hhc-3663017,"FEG Plus Hair Growth Spray – Stimulate Follicles, Reduce Hair Fall, and Encourage Thicker, Healthier Growth 60ML",,Beauty & Personal Care > Other,0.58
hhc-3641090,The Health Healer Height Grow Powder - 100% Natural Height Increase Supplement- 50G,,Beauty & Personal Care > Other,0.58
hhc-3534401,"FEG Plus Hair Growth Spray – Stimulate Follicles, Reduce Hair Fall, and Encourage Thicker, Healthier Growth 60ML",,Beauty & Personal Care > Other,0.55
hhc-2618689,"Electronic Pulse Massager Therapy Machine – Full Body Pain Relief Device with LCD Display, Electrode Pads, Massage Slippers &amp; Multiple Modes – Nerve, Muscle &amp; Acupressure Stimulator Kit",,Beauty & Personal Care > Other,0.55
hhc-1888201,(2inch x 8 Yard) Super Sticky Aluminum Foil Tape Self Adhesive Waterproof for Roof Pipe Repair Tape,,Home & Kitchen > Other,0.55
hhc-1423109,Blue idea Rechargeable Cordless Massager with different heads | Deep Massager for Muscles Neck Cordless Electric Body Massager,,Beauty & Personal Care > Other,0.58
hhc-1364870,"Tripod 3110 Portable Adjustable Aluminium Lightweight Camera Stand Tripod, with 3-Dimensional Head and Quick Release Plate for Video Cameras and Mobile, Black, Silver | 3110",,Home & Kitchen > Other,0.58
hhc-1356205,Multi Colour Set 24 PCS Kit / drawing /art / paint kit Set for kids (random color ),,Home & Kitchen > Other,0.55
hhc-1351884,Arabic Learning Tablet for kids 2 in 1 Prayer and Letters (Arabic &amp; English) Learning - Multi Color,,Home & Kitchen > Other,0.58
hhc-1347182,3 in 1 Makeup Deal  Sunisa Foundation Base 20g Waterproof Mushroom Head Air Cushion BB Cream Nude Liquid Foundations +yanqina 36H liner + 5 in 1 lipstick Pen,,Beauty & Personal Care > Home Decor,0.58
hhc-1274942,HAIR COLORING BRUSH | Cell Operated | Seal Packing,,Beauty & Personal Care > Other,0.58
hhc-1239293,Sunisa Foundation Base 20g Waterproof Mushroom Head Air Cushion BB Cream Nude Liquid Foundations  (with yanqina 36H liner ),,Beauty & Personal Care > Home Decor,0.58
hhc-1230454,Neck massger Low frequency | Relief Neck Massager,,Beauty & Personal Care > Other,0.58
hhc-1230343,MS Foot Massager Pad Improve Blood Circulation Relieve Ache Pain Health Care,,Beauty & Personal Care > Other,0.58
hhc-1215783,New Original Electric Vacuum Adsorption Foot Grinder Pedicure Tools Foot File Care Tool Remover Absorbing Machine Dead Skin Callus Polisher,,Beauty & Personal Care > Other,0.55
hhc-1204287,Electric Body Slimming Massage Belt Anti-cellulite Control System Waist Loss Weight Slimmer Home Vibration Fat Burning Device,,Beauty & Personal Care > Fitness & Gym,0.58
hhc-1119200,Spin Scrubber (Tiles Cleaning Brush) chargeable,,Home & Kitchen > Mobile Accessories,0.58
hhc-1017167,Nano Tape 3 Meter Double Side Tape |washable Reusable Tape,,Home & Kitchen > Other,0.58
hhc-883415,New Knee Plaster Sticker Wormwood Extract Knee Joint Ache Fast Pain Relieving Paster Knee Rheumatoid Arthritis Body Patches( 10 patches),,Beauty & Personal Care > Other,0.55
hhc-798258,Pressurized Shower Head Turbine Shower Accessories One Piece Water Stop(random color),,Home & Kitchen > Other,0.55
